"Date","ED_data","Day_rolling_avg_10"
"20MAY2023",".",0.000489
"21MAY2023",216,0.000499
"22MAY2023",".",0.000499
"23MAY2023",".",0.000468
"24MAY2023",".",0.000468
"25MAY2023",".",0.000434
"26MAY2023",".",0.000433
"27MAY2023",".",0.000433
"28MAY2023",237,0.000369
"29MAY2023",".",0.000369
"30MAY2023",".",0.000344
"31MAY2023",".",0.000344
"01JUN2023",".",0.000344
"02JUN2023",".",0.000313
"03JUN2023",".",0.000313
"04JUN2023",196,0.000293
"05JUN2023",".",0.000293
"06JUN2023",".",0.000293
"07JUN2023",".",0.000293
"08JUN2023",".",0.000293
"09JUN2023",".","."
"10JUN2023",".","."
"11JUN2023",199,"."
"12JUN2023",".","."
"13JUN2023",".","."
"14JUN2023",".","."
"15JUN2023",".","."
"16JUN2023",".","."
"17JUN2023",".","."
"18JUN2023",139,"."
"19JUN2023",".","."
"20JUN2023",".","."
"21JUN2023",".","."
"22JUN2023",".","."
"23JUN2023",".","."
"24JUN2023",".","."
"25JUN2023",171,"."
"26JUN2023",".","."
"27JUN2023",".","."
"28JUN2023",".","."
"29JUN2023",".","."
"30JUN2023",".","."
"01JUL2023",".","."
"02JUL2023",162,"."
"03JUL2023",".","."
"04JUL2023",".","."
"05JUL2023",".","."
"06JUL2023",".",0.000026
"07JUL2023",".",0.000026
"08JUL2023",".",0.000026
"09JUL2023",135,0.000026
"10JUL2023",".",0.000026
"11JUL2023",".",0.000026
"12JUL2023",".",0.000026
"13JUL2023",".",0.000080
"14JUL2023",".",0.000080
"15JUL2023",".",0.000080
"16JUL2023",154,0.000135
"17JUL2023",".",0.000135
"18JUL2023",".",0.000089
"19JUL2023",".",0.000089
"20JUL2023",".",0.000127
"21JUL2023",".",0.000127
"22JUL2023",".",0.000127
"23JUL2023",204,0.000123
"24JUL2023",".",0.000123
"25JUL2023",".",0.000797
"26JUL2023",".",0.000797
"27JUL2023",".",0.001132
"28JUL2023",".",0.001495
"29JUL2023",".",0.001495
"30JUL2023",220,0.002141
"31JUL2023",".",0.002141
"01AUG2023",".",0.002141
"02AUG2023",".",0.002141
"03AUG2023",".",0.008353
"04AUG2023",".",0.011457
"05AUG2023",".",0.010192
"06AUG2023",214,0.014220
"07AUG2023",".",0.014220
"08AUG2023",".",0.013384
"09AUG2023",".",0.013384
"10AUG2023",".",0.014487
"11AUG2023",".",0.012391
"12AUG2023",".",0.012391
"13AUG2023",264,0.014754
"14AUG2023",".",0.014754
"15AUG2023",".",0.012055
"16AUG2023",".",0.012055
"17AUG2023",".",0.019701
"18AUG2023",".",0.022365
"19AUG2023",".",0.022365
"20AUG2023",290,0.024648
"21AUG2023",".",0.024648
"22AUG2023",".",0.020789
"23AUG2023",".",0.020789
"24AUG2023",".",0.017879
"25AUG2023",".",0.021620
"26AUG2023",".",0.021620
"27AUG2023",339,0.011110
"28AUG2023",".",0.011110
"29AUG2023",".",0.008948
"30AUG2023",".",0.008948
"31AUG2023",".",0.012556
"01SEP2023",".",0.012385
"02SEP2023",".",0.012385
"03SEP2023",370,0.014003
"04SEP2023",".",0.014003
"05SEP2023",".",0.016988
"06SEP2023",".",0.016988
"07SEP2023",".",0.025624
"08SEP2023",".",0.032623
"09SEP2023",".",0.032623
"10SEP2023",370,0.037244
"11SEP2023",".",0.037244
"12SEP2023",".",0.034350
"13SEP2023",".",0.034350
"14SEP2023",".",0.026551
"15SEP2023",".",0.027749
"16SEP2023",".",0.027749
"17SEP2023",362,0.015858
"18SEP2023",".",0.015858
"19SEP2023",".",0.012920
"20SEP2023",".",0.012920
"21SEP2023",".",0.013605
"22SEP2023",".",0.008620
"23SEP2023",".",0.008620
"24SEP2023",342,0.011352
"25SEP2023",".",0.011352
"26SEP2023",".",0.014832
"27SEP2023",".",0.014832
"28SEP2023",".",0.012138
"29SEP2023",".",0.013837
"30SEP2023",".",0.013837
"01OCT2023",324,0.012924
"02OCT2023",".",0.012924
"03OCT2023",".",0.012146
"04OCT2023",".",0.012146
"05OCT2023",".",0.011268
"06OCT2023",".",0.007761
"07OCT2023",".",0.007761
"08OCT2023",305,0.009612
"09OCT2023",".",0.009612
"10OCT2023",".",0.009612
"11OCT2023",".",0.009612
"12OCT2023",".",0.006938
"13OCT2023",".",0.005112
"14OCT2023",".",0.005112
"15OCT2023",303,0.001589
"16OCT2023",".",0.001589
"17OCT2023",".",0.004576
"18OCT2023",".",0.004576
"19OCT2023",".",0.007967
"20OCT2023",".",0.007967
"21OCT2023",".",0.007967
"22OCT2023",375,0.011155
"23OCT2023",".",0.011155
"24OCT2023",".",0.008040
"25OCT2023",".",0.008040
"26OCT2023",".",0.006091
"27OCT2023",".",0.005600
"28OCT2023",".",0.005600
"29OCT2023",316,0.001026
"30OCT2023",".",0.001026
"31OCT2023",".",0.001352
"01NOV2023",".",0.001352
"02NOV2023",".",0.001356
"03NOV2023",".",0.001205
"04NOV2023",".",0.001205
"05NOV2023",387,0.001687
"06NOV2023",".",0.001687
"07NOV2023",".",0.011448
"08NOV2023",".",0.011448
"09NOV2023",".",0.008783
"10NOV2023",".",0.011043
"11NOV2023",".",0.011043
"12NOV2023",372,0.015880
"13NOV2023",".",0.015880
"14NOV2023",".",0.010979
"15NOV2023",".",0.010979
"16NOV2023",".",0.008285
"17NOV2023",".",0.000724
"18NOV2023",".",0.000724
"19NOV2023",391,0.000691
"20NOV2023",".",0.000691
"21NOV2023",".",0.001352
"22NOV2023",".",0.001352
"23NOV2023",".",0.001352
"24NOV2023",".",0.001439
"25NOV2023",".",0.001439
"26NOV2023",422,0.002676
"27NOV2023",".",0.002676
"28NOV2023",".",0.002676
"29NOV2023",".",0.002676
"30NOV2023",".",0.050928
"01DEC2023",".",0.099181
"02DEC2023",".",0.099181
"03DEC2023",440,0.099181
"04DEC2023",".",0.099181
"05DEC2023",".",0.066938
"06DEC2023",".",0.066938
"07DEC2023",".",0.054910
"08DEC2023",".",0.054910
"09DEC2023",".",0.054910
"10DEC2023",475,0.032774
"11DEC2023",".",0.032774
"12DEC2023",".",0.040654
"13DEC2023",".",0.040654
"14DEC2023",".",0.040496
"15DEC2023",".",0.042429
"16DEC2023",".",0.042429
"17DEC2023",550,0.048217
"18DEC2023",".",0.048217
"19DEC2023",".",0.062337
"20DEC2023",".",0.062337
"21DEC2023",".",0.051048
"22DEC2023",".",0.049260
"23DEC2023",".",0.049260
"24DEC2023",660,0.053879
"25DEC2023",".",0.053879
"26DEC2023",".",0.062066
"27DEC2023",".",0.062066
"28DEC2023",".",0.066494
"29DEC2023",".",0.058466
"30DEC2023",".",0.058466
"31DEC2023",587,0.079108
"01JAN2024",".",0.079108
"02JAN2024",".",0.054972
"03JAN2024",".",0.054972
"04JAN2024",".",0.043550
"05JAN2024",".",0.031920
"06JAN2024",".",0.031920
"07JAN2024",482,0.007992
"08JAN2024",".",0.007992
"09JAN2024",".",0.005562
"10JAN2024",".",0.005562
"11JAN2024",".",0.004249
"12JAN2024",".",0.003432
"13JAN2024",".",0.003432
"14JAN2024",344,0.000507
"15JAN2024",".",0.000507
"16JAN2024",".",0.011006
"17JAN2024",".",0.011006
"18JAN2024",".",0.009972
"19JAN2024",".",0.013061
"20JAN2024",".",0.013061
"21JAN2024",304,0.019437
"22JAN2024",".",0.019437
"23JAN2024",".",0.016537
"24JAN2024",".",0.016537
"25JAN2024",".",0.014821
"26JAN2024",".",0.009094
"27JAN2024",".",0.009094
"28JAN2024",274,0.010205
"29JAN2024",".",0.010205
"30JAN2024",".",0.017671
"31JAN2024",".",0.017671
"01FEB2024",".",0.013806
"02FEB2024",".",0.014829
"03FEB2024",".",0.014829
"04FEB2024",339,0.017407
"05FEB2024",".",0.017407
"06FEB2024",".",0.017797
"07FEB2024",".",0.017797
"08FEB2024",".",0.014285
"09FEB2024",".",0.008179
"10FEB2024",".",0.008179
"11FEB2024",335,0.011162
"12FEB2024",".",0.011162
"13FEB2024",".",0.020254
"14FEB2024",".",0.020254
"15FEB2024",".",0.015828
"16FEB2024",".",0.014912
"17FEB2024",".",0.014912
"18FEB2024",306,0.020494
"19FEB2024",".",0.020494
"20FEB2024",".",0.034644
"21FEB2024",".",0.034644
"22FEB2024",".",0.044850
"23FEB2024",".",0.046987
"24FEB2024",".",0.046987
"25FEB2024",288,0.069206
"26FEB2024",".",0.069206
"27FEB2024",".",0.049455
"28FEB2024",".",0.049455
"29FEB2024",".",0.040335
"01MAR2024",".",0.032799
"02MAR2024",".",0.032799
"03MAR2024",271,0.011465
"04MAR2024",".",0.011465
"05MAR2024",".",0.011465
"06MAR2024",".",0.011465
"07MAR2024",".",0.011465
"08MAR2024",".",0.012975
"09MAR2024",".",0.012975
"10MAR2024",211,"."
"11MAR2024",".","."
"12MAR2024",".",0.001086
"13MAR2024",".",0.001086
"14MAR2024",".",0.000674
"15MAR2024",".",0.000674
"16MAR2024",".",0.000674
"17MAR2024",232,0.000674
"18MAR2024",".",0.000674
"19MAR2024",".",0.001994
"20MAR2024",".",0.001994
"21MAR2024",".",0.001622
"22MAR2024",".",0.001801
"23MAR2024",".",0.001801
"24MAR2024",149,0.002571
"25MAR2024",".",0.002571
"26MAR2024",".",0.003007
"27MAR2024",".",0.003007
"28MAR2024",".",0.003710
"29MAR2024",".",0.003401
"30MAR2024",".",0.003401
"31MAR2024",174,0.004849
"01APR2024",".",0.004849
"02APR2024",".",0.005418
"03APR2024",".",0.005418
"04APR2024",".",0.004754
"05APR2024",".",0.005046
"06APR2024",".",0.005046
"07APR2024",187,0.004660
"08APR2024",".",0.004660
"09APR2024",".",0.005568
"10APR2024",".",0.005568
"11APR2024",".",0.006196
"12APR2024",".",0.006076
"13APR2024",".",0.006076
"14APR2024",181,0.007732
"15APR2024",".",0.007732
"16APR2024",".",0.005972
"17APR2024",".",0.005972
"18APR2024",".",0.004904
"19APR2024",".",0.004077
"20APR2024",".",0.004077
"21APR2024",187,0.002076
"22APR2024",".",0.002076
"23APR2024",".",0.002582
"24APR2024",".",0.002582
"25APR2024",".",0.003383
"26APR2024",".",0.003693
"27APR2024",".",0.003693
"28APR2024",148,0.004690
"29APR2024",".",0.004690
"30APR2024",".",0.005922
"01MAY2024",".",0.005922
"02MAY2024",".",0.005555
"03MAY2024",".",0.006208
"04MAY2024",".",0.006208
"05MAY2024",184,0.006420
"06MAY2024",".",0.006420
"07MAY2024",".",0.006945
